keyvar;school;type_sch;sec_lev;respnum;v01;v02;v03;v04;v05;v0601;v0602;v0603;v0604;v0605;v0606;v0607;v0607a;v07;v080;v081;v082;v083;v084;v085;v08a;v090;v091;v092;v093;v09a;v1001;v1002;v1003;v1004;v1005;v1006;v11;v12;v130;v131;v132;v133;v13a;v140;v141;v142;v143;v14a;v150;v151;v152;v153;v15a;v160;v161;v162;v163;v16a;v170;v171;v172;v173;v17a;v18;v19;v20;v21;v2201;v2202;v2203;v2204;v2205;v2206;v2207;v2207a;v23;v240;v241;v242;v243;v25;v26;v27;v28a0;v28a1;v28a2;v28b0;v28b1;v28b2;v28c0;v28c1;v28c2;v2901;v2902;v2903;v2904;v30;v31;v32;v33;v34;v35;v360;v361;v37;v37_1;v37a;v37a1;v37b;v37b1;v38;v3901;v3902;v3903;v3904;v3905;v3906;v3907;v3908;v4001;v4002;v4003;v4004;v41;v42;v43;v44;v4501;v4502;v4503;v4504;v4505;v4506;v4507;v4508;v4509;v46;v47;v48;v48a;v49;v49a;v50;v50a;v5101;v5102;v5103;v5104;v5105;v5201;v5202;v5203;v5301;v5302;v5303;v5304;v5305;v5306;v54;v54a;v54b;v55;v55a;v55b;v56;v56a;v56b;v57;v57a;v57b;v58;v58a;v58b;v59;v59a;v59b;v60;v60a;v60b;del_ern;crime_types;unsafe_nh;ethnicity;dutch;surinam_antillian;moroccan_turkish
10060;61;81;0;6181006;2;3;4;1;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;7;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;1; ; ;0;0;1;0;8;2;2;8;2;2;1;0;1;1; ; ; ; ;1;2;1;3;1;1;1;5;1;5;3;5;2;2;2;3;3;3;4;1;3;5;5;5;5;5;2;2;1; ;1; ;2;99;1;1;1;3;2;4;4;4;4;1;5;7;5;5;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
10062;61;81;0;6181008;1;4;5;2;2;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;5;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;3; ; ;0;1;0;0;8;2;2;8;2;5;1;0;1;1; ; ; ; ;2;1;1;2;3;1;1;3;1;5;5;5;5;2;1;2;3;2;4;9;2;4;4;4;4;4;2;2;1; ;1; ;1; ;1;2;1;3;1;4;4;4;3;3;5;2;4;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;2;1;1;0;0
10064;61;81;0;6181010;2;5;5;1;1;1;1;1;1;1;1;1;wel 'ns gepest/geslagen door gabbers;1;10;0;0;0;0;0;bij Duinvermaak;6;0;0;0;bij Duinvermaak;4;9;4;9;9;9;4;2;4;6;0;0;0;11;0;0;0;de bl. plekken blijv;7;0;0;0;0;9;0;0;0;mijn pesters;1;0;0;0;0;1;1;1;7;2;1;1;1;1;1;2; ;1;1;0;0;0;1;1;12;1; ; ;1; ; ;1; ; ;1;0;0;0;6;2;2;6;5;2;1;0;1;1; ; ; ; ;1;1;1;3;1;1;1;3;2;5;4;5;1;2;1;3;3;2;3;1;1;4;4;4;4;3;2;2;1; ;1; ;1; ;1;1;2;2;2;4;3;4;3;3;3;3;3;4;1; ;1;1; ;1;1; ;1;2;5;1;1; ;1;1; ;1;1; ;1;0;1;2,2;1;1;0;0
10066;61;81;0;6181012;1;5;5;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;1;1;1;1;1;1;2; ;1;1;0;0;0;1;1;11;1; ; ;1; ; ;1; ; ;0;0;1;0;8;2;2;7;2;2;1;0;1;1; ; ; ; ;1;2;1;1;1;1;1;3;1;5;2;5;2;2;1;3;3;3;9;1;3;5;5;5;5;5;2;1;1; ;1; ;1; ;1;1;1;1;3;2;3;4;4;2;2;2;7;3;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1;1;1;0;0
10067;61;81;0;6181013;2;5;5;2;1;2;1;1;1;1;1;2; ;2;4;0;0;0;0;0;0;1;0;0;0;0;5;1;1;1;1;1;3;3;5;0;0;0;0;3;0;0;0;0;3;0;0;0;0;5;0;0;0;0;7;0;0;0;0;6;2;2;7;1;2;1;1;1;1;2; ;2;6;0;0;0;3;2;12;1; ; ;1; ; ;3; ; ;0;0;0;1;8;2;2;8;5;5;1;0;1;1; ; ; ; ;1;3;1;2;1;1;1;3;1;5;2;5;1;2;1;2;3;3;5;3;5;5;5;5;3;5;3;2;1; ;1; ;2;10;1;1;1;3;1;4;4;4;4;2;3;3;7;7;1; ;1;1; ;1;2;11;1;2;10;1;1; ;1;2;11;1;1; ;1;1;3;1,4;1;1;0;0
10069;61;81;0;6181015;1;4;4;4;3;3;2;1;1;2;9;2; ;7;2;3;4;0;0;0;0;1;0;0;0;0;2;1;1;1;2;1;3;3;5;6;10;0;terug schelden;2;3;0;0;0;3;6;0;0;0;3;5;9;0;2;2;0;0;0;0;5;6;6;6;3;1;1;1;2;1;2; ;1;6;7;0;0;3;3;12;1; ; ;1; ; ;0; ; ;0;0;0;0;8;2;2;8;2;2;1;2;2;2; ; ; ; ;2;2;2;3;1;1;1;1;3;4;1;3;3;2;1;3;3;1;4;1;5;5;5;5;5;3;2;1;1; ;1; ;2;11;1;2;2;3;2;2;4;4;3;3;5;3;7;3;2;11;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;1;1,4;1;1;0;0
10070;61;81;0;6181016;1;4;4;4;3;3;9;2;1;3;3;2; ;6;4;0;0;0;0;0;0;1;0;0;0;0;2;2;1;1;2;2;3;4;9;0;0;0;0;8;0;0;0;0;6;0;0;0;0;9;0;0;0;de pestkoppen!;9;0;0;0;weet ik niet.;6;5;6;6;3;2;1;1;3;2;2; ;2;6;0;0;0;1;1;12;1; ; ;1; ; ;1; ; ;1;0;1;0;7;2;2;7;2;2;1;0;1;1; ; ; ; ;1;1;1;2;1;1;1;3;1;5;3;5;3;2;1;2;3;2;9;4;5;5;5;5;5;2;2;2;1; ;1; ;1; ;2;2;1;2;2;4;3;4;4;2;4;2;1;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,6;1;1;0;0
10073;61;81;0;6181019;2;5;5;1;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;2;2;1;1;1;1;2;2; ;1;1;0;0;0;3;1;12;1; ; ;1; ; ;1;3; ;2;1;0;0;8;2;2;8;5;2;1;0;99;99; ; ; ; ;1;1;1;3;1;1;1;5;1;5;5;5;3;2;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1; ;1; ;1; ;3;2;1;3;1;4;3;9;2;1;3;2;5;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;5;1;1;0;0
10074;61;81;0;6181020;2;5;5;2;2;2;2;2;1;1;1;2; ;2;3;0;0;0;0;0;0;5;0;0;0;0;5;3;3;1;1;1;3;2;9;0;0;0;0;10;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;2;1;1;1;1;2;2; ;1;1;0;0;0;1;1;13;1; ; ;1; ; ;1; ; ;0;0;1;0;7;2;2;7;5;2;1;0;1;1; ; ; ; ;99;2;2;3;2;1;1;3;1;5;5;5;3;2;2;2;2;1;1;1;4;5;5;5;5;3;2;1;1; ;1; ;1; ;1;2;1;3;2;4;4;4;2;3;7;2;4;7;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0;1,4;1;1;0;0
10077;61;81;0;6181023;1;5;5;3;1;1;1;1;1;1;1;2; ;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;6;9;9;9;9;9;9;9; ;1;1;7;0;0;1;1;13;1; ; ;0; ; ;3; ; ;0;3;0;0;8;2;2;8;5;2;1;0;2;2; ; ; ; ;1;1;4;2;1;1;2;2;1;9;2;9;3;2;1;3;2;9;9;9;9;9;9;9;9;9;2;1;1; ;1; ;1; ;1;1;1;2;2;4;3;4;3;2;2;3;6;4;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;1; ;1;0;0; ;1;1;0;0
